System Name,System Faction,Planet Name,Planet Type,Planet Archetype,Planet Faction,Resource Count
003-MUD-KING-01,MUD,003-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
003-MUD-KING-01,MUD,003-MUD-KING-01-P7,MUD Oceanic Planet,Oceanic Planet,MUD,14
003-MUD-KING-01,MUD,003-MUD-KING-01-P8,MUD System Asteroid Belt,Asteroid Belt,MUD,14
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P1,ONI Gas Giant,Gas Giant,ONI,9
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P2,ONI Volcanic Planet,Volcanic Planet,ONI,16
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P4,ONI Barren Planet,Barren Planet,ONI,12
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P5,ONI Gas Giant,Gas Giant,ONI,9
CSS-ONI-KING-01,ONI,CSS-ONI-KING-01-P6,ONI Ice Giant,Ice Giant,ONI,15
002-ONI-KING-01,ONI,002-ONI-KING-01-P1,ONI Volcanic Planet,Volcanic Planet,ONI,16
002-ONI-KING-01,ONI,002-ONI-KING-01-P2,ONI Dark Planet,Dark Planet,ONI,17
002-ONI-KING-01,ONI,002-ONI-KING-01-P3,ONI System Asteroid Belt,Asteroid Belt,ONI,14
002-ONI-KING-01,ONI,002-ONI-KING-01-P4,ONI Dark Planet,Dark Planet,ONI,17
002-ONI-KING-01,ONI,002-ONI-KING-01-P5,ONI Dark Planet,Dark Planet,ONI,17
002-ONI-KING-01,ONI,002-ONI-KING-01-P6,ONI Gas Giant,Gas Giant,ONI,9
002-ONI-KING-01,ONI,002-ONI-KING-01-P7,ONI Oceanic Planet,Oceanic Planet,ONI,15
002-ONI-KING-01,ONI,002-ONI-KING-01-P8,ONI Oceanic Planet,Oceanic Planet,ONI,15
005-ONI-KING-01,ONI,005-ONI-KING-01-P1,ONI Ice Giant,Ice Giant,ONI,15
005-ONI-KING-01,ONI,005-ONI-KING-01-P2,ONI Gas Giant,Gas Giant,ONI,9
005-ONI-KING-01,ONI,005-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
005-ONI-KING-01,ONI,005-ONI-KING-01-P4,ONI Volcanic Planet,Volcanic Planet,ONI,16
005-ONI-KING-01,ONI,005-ONI-KING-01-P5,ONI Dark Planet,Dark Planet,ONI,17
005-ONI-KING-01,ONI,005-ONI-KING-01-P6,ONI System Asteroid Belt,Asteroid Belt,ONI,14
005-ONI-KING-01,ONI,005-ONI-KING-01-P7,ONI Dark Planet,Dark Planet,ONI,17
005-ONI-KING-01,ONI,005-ONI-KING-01-P8,ONI System Asteroid Belt,Asteroid Belt,ONI,14
004-ONI-KING-01,ONI,004-ONI-KING-01-P1,ONI Dark Planet,Dark Planet,ONI,17
004-ONI-KING-01,ONI,004-ONI-KING-01-P2,ONI Oceanic Planet,Oceanic Planet,ONI,15
004-ONI-KING-01,ONI,004-ONI-KING-01-P3,ONI Volcanic Planet,Volcanic Planet,ONI,16
004-ONI-KING-01,ONI,004-ONI-KING-01-P4,ONI Gas Giant,Gas Giant,ONI,9
004-ONI-KING-01,ONI,004-ONI-KING-01-P5,ONI Dark Planet,Dark Planet,ONI,17
004-ONI-KING-01,ONI,004-ONI-KING-01-P6,ONI System Asteroid Belt,Asteroid Belt,ONI,14
003-ONI-KING-01,ONI,003-ONI-KING-01-P1,ONI Ice Giant,Ice Giant,ONI,15
003-ONI-KING-01,ONI,003-ONI-KING-01-P2,ONI Dark Planet,Dark Planet,ONI,17
003-ONI-KING-01,ONI,003-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
003-ONI-KING-01,ONI,003-ONI-KING-01-P4,ONI Oceanic Planet,Oceanic Planet,ONI,15
003-ONI-KING-01,ONI,003-ONI-KING-01-P5,ONI System Asteroid Belt,Asteroid Belt,ONI,14
003-ONI-KING-01,ONI,003-ONI-KING-01-P6,ONI Ice Giant,Ice Giant,ONI,15
CSS-UST-KING-01,UST,CSS-UST-KING-01-P1,USTUR Barren Planet,Barren Planet,USTUR,12
CSS-UST-KING-01,UST,CSS-UST-KING-01-P2,USTUR Ice Giant,Ice Giant,USTUR,15
CSS-UST-KING-01,UST,CSS-UST-KING-01-P3,USTUR Ice Giant,Ice Giant,USTUR,15
CSS-UST-KING-01,UST,CSS-UST-KING-01-P4,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
CSS-UST-KING-01,UST,CSS-UST-KING-01-P5,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
CSS-UST-KING-01,UST,CSS-UST-KING-01-P6,USTUR Dark Planet,Dark Planet,USTUR,17
002-UST-KING-01,UST,002-UST-KING-01-P1,USTUR Ice Giant,Ice Giant,USTUR,15
002-UST-KING-01,UST,002-UST-KING-01-P2,USTUR Barren Planet,Barren Planet,USTUR,12
002-UST-KING-01,UST,002-UST-KING-01-P3,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
002-UST-KING-01,UST,002-UST-KING-01-P4,USTUR Dark Planet,Dark Planet,USTUR,17
002-UST-KING-01,UST,002-UST-KING-01-P5,USTUR Gas Giant,Gas Giant,USTUR,8
002-UST-KING-01,UST,002-UST-KING-01-P6,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
002-UST-KING-01,UST,002-UST-KING-01-P7,USTUR Ice Giant,Ice Giant,USTUR,15
002-UST-KING-01,UST,002-UST-KING-01-P8,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
003-UST-KING-01,UST,003-UST-KING-01-P1,USTUR Ice Giant,Ice Giant,USTUR,15
003-UST-KING-01,UST,003-UST-KING-01-P2,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
003-UST-KING-01,UST,003-UST-KING-01-P3,USTUR Ice Giant,Ice Giant,USTUR,15
003-UST-KING-01,UST,003-UST-KING-01-P4,USTUR Gas Giant,Gas Giant,USTUR,8
003-UST-KING-01,UST,003-UST-KING-01-P5,USTUR Terrestrial Planet,Terrestrial Planet,USTUR,13
003-UST-KING-01,UST,003-UST-KING-01-P6,USTUR Dark Planet,Dark Planet,USTUR,17
003-UST-KING-01,UST,003-UST-KING-01-P7,USTUR Ice Giant,Ice Giant,USTUR,15
003-UST-KING-01,UST,003-UST-KING-01-P8,USTUR Ice Giant,Ice Giant,USTUR,15
004-UST-KING-01,UST,004-UST-KING-01-P1,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
004-UST-KING-01,UST,004-UST-KING-01-P2,USTUR Dark Planet,Dark Planet,USTUR,17
004-UST-KING-01,UST,004-UST-KING-01-P3,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
004-UST-KING-01,UST,004-UST-KING-01-P4,USTUR Dark Planet,Dark Planet,USTUR,17
004-UST-KING-01,UST,004-UST-KING-01-P5,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
004-UST-KING-01,UST,004-UST-KING-01-P6,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
004-UST-KING-01,UST,004-UST-KING-01-P7,USTUR Gas Giant,Gas Giant,USTUR,8
004-UST-KING-01,UST,004-UST-KING-01-P8,USTUR Ice Giant,Ice Giant,USTUR,15
005-UST-KING-01,UST,005-UST-KING-01-P1,USTUR Ice Giant,Ice Giant,USTUR,15
005-UST-KING-01,UST,005-UST-KING-01-P2,USTUR Ice Giant,Ice Giant,USTUR,15
005-UST-KING-01,UST,005-UST-KING-01-P3,USTUR Dark Planet,Dark Planet,USTUR,17
005-UST-KING-01,UST,005-UST-KING-01-P4,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
005-UST-KING-01,UST,005-UST-KING-01-P5,USTUR Ice Giant,Ice Giant,USTUR,15
005-UST-KING-01,UST,005-UST-KING-01-P6,USTUR Ice Giant,Ice Giant,USTUR,15
006-MUD-KING-01,MUD,006-MUD-KING-01-P1,MUD Volcanic Planet,Volcanic Planet,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P2,MUD Ice Giant,Ice Giant,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P3,MUD Dark Planet,Dark Planet,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P4,MUD Ice Giant,Ice Giant,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P5,MUD Volcanic Planet,Volcanic Planet,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
006-MUD-KING-01,MUD,006-MUD-KING-01-P7,MUD Barren Planet,Barren Planet,MUD,12
009-MUD-KING-01,MUD,009-MUD-KING-01-P1,MUD Dark Planet,Dark Planet,MUD,17
009-MUD-KING-01,MUD,009-MUD-KING-01-P2,MUD System Asteroid Belt,Asteroid Belt,MUD,14
009-MUD-KING-01,MUD,009-MUD-KING-01-P3,MUD Ice Giant,Ice Giant,MUD,17
009-MUD-KING-01,MUD,009-MUD-KING-01-P4,MUD Dark Planet,Dark Planet,MUD,17
009-MUD-KING-01,MUD,009-MUD-KING-01-P5,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
009-MUD-KING-01,MUD,009-MUD-KING-01-P6,MUD Dark Planet,Dark Planet,MUD,17
009-MUD-KING-01,MUD,009-MUD-KING-01-P7,MUD Ice Giant,Ice Giant,MUD,17
009-MUD-KING-01,MUD,009-MUD-KING-01-P8,MUD Ice Giant,Ice Giant,MUD,17
010-MUD-KING-01,MUD,010-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
010-MUD-KING-01,MUD,010-MUD-KING-01-P2,MUD Ice Giant,Ice Giant,MUD,17
010-MUD-KING-01,MUD,010-MUD-KING-01-P3,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
010-MUD-KING-01,MUD,010-MUD-KING-01-P4,MUD Gas Giant,Gas Giant,MUD,9
010-MUD-KING-01,MUD,010-MUD-KING-01-P5,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
010-MUD-KING-01,MUD,010-MUD-KING-01-P6,MUD Gas Giant,Gas Giant,MUD,9
010-MUD-KING-01,MUD,010-MUD-KING-01-P7,MUD Dark Planet,Dark Planet,MUD,17
010-MUD-KING-01,MUD,010-MUD-KING-01-P8,MUD Barren Planet,Barren Planet,MUD,12
011-MUD-KING-01,MUD,011-MUD-KING-01-P1,MUD System Asteroid Belt,Asteroid Belt,MUD,14
011-MUD-KING-01,MUD,011-MUD-KING-01-P2,MUD Gas Giant,Gas Giant,MUD,9
011-MUD-KING-01,MUD,011-MUD-KING-01-P3,MUD Oceanic Planet,Oceanic Planet,MUD,14
011-MUD-KING-01,MUD,011-MUD-KING-01-P4,MUD Dark Planet,Dark Planet,MUD,17
011-MUD-KING-01,MUD,011-MUD-KING-01-P5,MUD Volcanic Planet,Volcanic Planet,MUD,17
011-MUD-KING-01,MUD,011-MUD-KING-01-P6,MUD Dark Planet,Dark Planet,MUD,17
012-MUD-KING-01,MUD,012-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
012-MUD-KING-01,MUD,012-MUD-KING-01-P2,MUD Dark Planet,Dark Planet,MUD,17
012-MUD-KING-01,MUD,012-MUD-KING-01-P3,MUD Oceanic Planet,Oceanic Planet,MUD,14
012-MUD-KING-01,MUD,012-MUD-KING-01-P4,MUD Oceanic Planet,Oceanic Planet,MUD,14
012-MUD-KING-01,MUD,012-MUD-KING-01-P5,MUD Ice Giant,Ice Giant,MUD,17
012-MUD-KING-01,MUD,012-MUD-KING-01-P6,MUD Dark Planet,Dark Planet,MUD,17
012-MUD-KING-01,MUD,012-MUD-KING-01-P7,MUD Volcanic Planet,Volcanic Planet,MUD,17
019-MUD-KING-01,MUD,019-MUD-KING-01-P1,MUD System Asteroid Belt,Asteroid Belt,MUD,14
019-MUD-KING-01,MUD,019-MUD-KING-01-P2,MUD System Asteroid Belt,Asteroid Belt,MUD,14
019-MUD-KING-01,MUD,019-MUD-KING-01-P3,MUD Ice Giant,Ice Giant,MUD,17
019-MUD-KING-01,MUD,019-MUD-KING-01-P4,MUD Barren Planet,Barren Planet,MUD,12
019-MUD-KING-01,MUD,019-MUD-KING-01-P5,MUD Ice Giant,Ice Giant,MUD,17
019-MUD-KING-01,MUD,019-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
019-MUD-KING-01,MUD,019-MUD-KING-01-P7,MUD Volcanic Planet,Volcanic Planet,MUD,17
013-MUD-KING-01,MUD,013-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
013-MUD-KING-01,MUD,013-MUD-KING-01-P2,MUD Oceanic Planet,Oceanic Planet,MUD,14
013-MUD-KING-01,MUD,013-MUD-KING-01-P3,MUD Dark Planet,Dark Planet,MUD,17
013-MUD-KING-01,MUD,013-MUD-KING-01-P4,MUD Dark Planet,Dark Planet,MUD,17
013-MUD-KING-01,MUD,013-MUD-KING-01-P5,MUD Gas Giant,Gas Giant,MUD,9
013-MUD-KING-01,MUD,013-MUD-KING-01-P6,MUD Gas Giant,Gas Giant,MUD,9
013-MUD-KING-01,MUD,013-MUD-KING-01-P7,MUD Ice Giant,Ice Giant,MUD,17
014-MUD-KING-01,MUD,014-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
014-MUD-KING-01,MUD,014-MUD-KING-01-P2,MUD Gas Giant,Gas Giant,MUD,9
014-MUD-KING-01,MUD,014-MUD-KING-01-P3,MUD Ice Giant,Ice Giant,MUD,17
014-MUD-KING-01,MUD,014-MUD-KING-01-P4,MUD Gas Giant,Gas Giant,MUD,9
014-MUD-KING-01,MUD,014-MUD-KING-01-P5,MUD Ice Giant,Ice Giant,MUD,17
014-MUD-KING-01,MUD,014-MUD-KING-01-P6,MUD Barren Planet,Barren Planet,MUD,12
016-MUD-KING-01,MUD,016-MUD-KING-01-P1,MUD Gas Giant,Gas Giant,MUD,9
016-MUD-KING-01,MUD,016-MUD-KING-01-P2,MUD Ice Giant,Ice Giant,MUD,17
016-MUD-KING-01,MUD,016-MUD-KING-01-P3,MUD Dark Planet,Dark Planet,MUD,17
016-MUD-KING-01,MUD,016-MUD-KING-01-P4,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
016-MUD-KING-01,MUD,016-MUD-KING-01-P5,MUD Ice Giant,Ice Giant,MUD,17
016-MUD-KING-01,MUD,016-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
016-MUD-KING-01,MUD,016-MUD-KING-01-P7,MUD Oceanic Planet,Oceanic Planet,MUD,14
022-MUD-KING-01,MUD,022-MUD-KING-01-P1,MUD Dark Planet,Dark Planet,MUD,17
022-MUD-KING-01,MUD,022-MUD-KING-01-P2,MUD Dark Planet,Dark Planet,MUD,17
022-MUD-KING-01,MUD,022-MUD-KING-01-P3,MUD Ice Giant,Ice Giant,MUD,17
022-MUD-KING-01,MUD,022-MUD-KING-01-P4,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
022-MUD-KING-01,MUD,022-MUD-KING-01-P5,MUD Oceanic Planet,Oceanic Planet,MUD,14
022-MUD-KING-01,MUD,022-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
022-MUD-KING-01,MUD,022-MUD-KING-01-P7,MUD Ice Giant,Ice Giant,MUD,17
022-MUD-KING-01,MUD,022-MUD-KING-01-P8,MUD System Asteroid Belt,Asteroid Belt,MUD,14
021-MUD-KING-01,MUD,021-MUD-KING-01-P1,MUD System Asteroid Belt,Asteroid Belt,MUD,14
021-MUD-KING-01,MUD,021-MUD-KING-01-P2,MUD Oceanic Planet,Oceanic Planet,MUD,14
021-MUD-KING-01,MUD,021-MUD-KING-01-P3,MUD System Asteroid Belt,Asteroid Belt,MUD,14
021-MUD-KING-01,MUD,021-MUD-KING-01-P4,MUD Gas Giant,Gas Giant,MUD,9
021-MUD-KING-01,MUD,021-MUD-KING-01-P5,MUD Dark Planet,Dark Planet,MUD,17
021-MUD-KING-01,MUD,021-MUD-KING-01-P6,MUD Gas Giant,Gas Giant,MUD,9
021-MUD-KING-01,MUD,021-MUD-KING-01-P7,MUD Dark Planet,Dark Planet,MUD,17
021-MUD-KING-01,MUD,021-MUD-KING-01-P8,MUD Ice Giant,Ice Giant,MUD,17
023-MUD-KING-01,MUD,023-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
023-MUD-KING-01,MUD,023-MUD-KING-01-P2,MUD Oceanic Planet,Oceanic Planet,MUD,14
023-MUD-KING-01,MUD,023-MUD-KING-01-P3,MUD Oceanic Planet,Oceanic Planet,MUD,14
023-MUD-KING-01,MUD,023-MUD-KING-01-P4,MUD Ice Giant,Ice Giant,MUD,17
023-MUD-KING-01,MUD,023-MUD-KING-01-P5,MUD Barren Planet,Barren Planet,MUD,12
023-MUD-KING-01,MUD,023-MUD-KING-01-P6,MUD Gas Giant,Gas Giant,MUD,9
023-MUD-KING-01,MUD,023-MUD-KING-01-P7,MUD Oceanic Planet,Oceanic Planet,MUD,14
023-MUD-KING-01,MUD,023-MUD-KING-01-P8,MUD Ice Giant,Ice Giant,MUD,17
023-ONI-KING-01,ONI,023-ONI-KING-01-P1,ONI Gas Giant,Gas Giant,ONI,9
023-ONI-KING-01,ONI,023-ONI-KING-01-P2,ONI Dark Planet,Dark Planet,ONI,17
023-ONI-KING-01,ONI,023-ONI-KING-01-P3,ONI Dark Planet,Dark Planet,ONI,17
023-ONI-KING-01,ONI,023-ONI-KING-01-P4,ONI Volcanic Planet,Volcanic Planet,ONI,16
023-ONI-KING-01,ONI,023-ONI-KING-01-P5,ONI Ice Giant,Ice Giant,ONI,15
023-ONI-KING-01,ONI,023-ONI-KING-01-P6,ONI Gas Giant,Gas Giant,ONI,9
022-ONI-KING-01,ONI,022-ONI-KING-01-P1,ONI Gas Giant,Gas Giant,ONI,9
022-ONI-KING-01,ONI,022-ONI-KING-01-P2,ONI Gas Giant,Gas Giant,ONI,9
022-ONI-KING-01,ONI,022-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
022-ONI-KING-01,ONI,022-ONI-KING-01-P4,ONI Oceanic Planet,Oceanic Planet,ONI,15
022-ONI-KING-01,ONI,022-ONI-KING-01-P5,ONI Ice Giant,Ice Giant,ONI,15
022-ONI-KING-01,ONI,022-ONI-KING-01-P6,ONI System Asteroid Belt,Asteroid Belt,ONI,14
022-ONI-KING-01,ONI,022-ONI-KING-01-P7,ONI Oceanic Planet,Oceanic Planet,ONI,15
015-UST-KING-01,UST,015-UST-KING-01-P1,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
015-UST-KING-01,UST,015-UST-KING-01-P2,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
015-UST-KING-01,UST,015-UST-KING-01-P3,USTUR Ice Giant,Ice Giant,USTUR,15
015-UST-KING-01,UST,015-UST-KING-01-P4,USTUR Ice Giant,Ice Giant,USTUR,15
015-UST-KING-01,UST,015-UST-KING-01-P5,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
015-UST-KING-01,UST,015-UST-KING-01-P6,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
015-UST-KING-01,UST,015-UST-KING-01-P7,USTUR Gas Giant,Gas Giant,USTUR,8
015-UST-KING-01,UST,015-UST-KING-01-P8,USTUR Ice Giant,Ice Giant,USTUR,15
021-UST-KING-01,UST,021-UST-KING-01-P1,USTUR Dark Planet,Dark Planet,USTUR,17
021-UST-KING-01,UST,021-UST-KING-01-P2,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
021-UST-KING-01,UST,021-UST-KING-01-P3,USTUR Ice Giant,Ice Giant,USTUR,15
021-UST-KING-01,UST,021-UST-KING-01-P4,USTUR Ice Giant,Ice Giant,USTUR,15
021-UST-KING-01,UST,021-UST-KING-01-P5,USTUR Ice Giant,Ice Giant,USTUR,15
021-UST-KING-01,UST,021-UST-KING-01-P6,USTUR Terrestrial Planet,Terrestrial Planet,USTUR,13
021-UST-KING-01,UST,021-UST-KING-01-P7,USTUR System Asteroid Belt,Asteroid Belt,USTUR,14
021-UST-KING-01,UST,021-UST-KING-01-P8,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
023-UST-KING-01,UST,023-UST-KING-01-P1,USTUR Gas Giant,Gas Giant,USTUR,8
023-UST-KING-01,UST,023-UST-KING-01-P2,USTUR Ice Giant,Ice Giant,USTUR,15
023-UST-KING-01,UST,023-UST-KING-01-P3,USTUR Barren Planet,Barren Planet,USTUR,12
023-UST-KING-01,UST,023-UST-KING-01-P4,USTUR Gas Giant,Gas Giant,USTUR,8
023-UST-KING-01,UST,023-UST-KING-01-P5,USTUR Dark Planet,Dark Planet,USTUR,17
023-UST-KING-01,UST,023-UST-KING-01-P6,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
023-UST-KING-01,UST,023-UST-KING-01-P7,USTUR Oceanic Planet,Oceanic Planet,USTUR,14
012-ONI-KING-01,ONI,012-ONI-KING-01-P1,ONI Dark Planet,Dark Planet,ONI,17
012-ONI-KING-01,ONI,012-ONI-KING-01-P2,ONI Oceanic Planet,Oceanic Planet,ONI,15
012-ONI-KING-01,ONI,012-ONI-KING-01-P3,ONI Oceanic Planet,Oceanic Planet,ONI,15
012-ONI-KING-01,ONI,012-ONI-KING-01-P4,ONI Ice Giant,Ice Giant,ONI,15
012-ONI-KING-01,ONI,012-ONI-KING-01-P5,ONI System Asteroid Belt,Asteroid Belt,ONI,14
012-ONI-KING-01,ONI,012-ONI-KING-01-P6,ONI Dark Planet,Dark Planet,ONI,17
012-ONI-KING-01,ONI,012-ONI-KING-01-P7,ONI Oceanic Planet,Oceanic Planet,ONI,15
012-ONI-KING-01,ONI,012-ONI-KING-01-P8,ONI Terrestrial Planet,Terrestrial Planet,ONI,13
008-ONI-KING-01,ONI,008-ONI-KING-01-P1,ONI System Asteroid Belt,Asteroid Belt,ONI,14
008-ONI-KING-01,ONI,008-ONI-KING-01-P2,ONI Ice Giant,Ice Giant,ONI,15
008-ONI-KING-01,ONI,008-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
008-ONI-KING-01,ONI,008-ONI-KING-01-P4,ONI Volcanic Planet,Volcanic Planet,ONI,16
008-ONI-KING-01,ONI,008-ONI-KING-01-P5,ONI Volcanic Planet,Volcanic Planet,ONI,16
008-ONI-KING-01,ONI,008-ONI-KING-01-P6,ONI Ice Giant,Ice Giant,ONI,15
008-ONI-KING-01,ONI,008-ONI-KING-01-P7,ONI Dark Planet,Dark Planet,ONI,17
008-ONI-KING-01,ONI,008-ONI-KING-01-P8,ONI Ice Giant,Ice Giant,ONI,15
013-ONI-KING-01,ONI,013-ONI-KING-01-P1,ONI Ice Giant,Ice Giant,ONI,15
013-ONI-KING-01,ONI,013-ONI-KING-01-P2,ONI System Asteroid Belt,Asteroid Belt,ONI,14
013-ONI-KING-01,ONI,013-ONI-KING-01-P3,ONI Ice Giant,Ice Giant,ONI,15
013-ONI-KING-01,ONI,013-ONI-KING-01-P4,ONI Volcanic Planet,Volcanic Planet,ONI,16
013-ONI-KING-01,ONI,013-ONI-KING-01-P5,ONI Volcanic Planet,Volcanic Planet,ONI,16
013-ONI-KING-01,ONI,013-ONI-KING-01-P6,ONI System Asteroid Belt,Asteroid Belt,ONI,14
013-ONI-KING-01,ONI,013-ONI-KING-01-P7,ONI Terrestrial Planet,Terrestrial Planet,ONI,13
012-UST-KING-01,UST,012-UST-KING-01-P1,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
012-UST-KING-01,UST,012-UST-KING-01-P2,USTUR Dark Planet,Dark Planet,USTUR,17
012-UST-KING-01,UST,012-UST-KING-01-P3,USTUR Dark Planet,Dark Planet,USTUR,17
012-UST-KING-01,UST,012-UST-KING-01-P4,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
012-UST-KING-01,UST,012-UST-KING-01-P5,USTUR Gas Giant,Gas Giant,USTUR,8
012-UST-KING-01,UST,012-UST-KING-01-P6,USTUR Volcanic Planet,Volcanic Planet,USTUR,16
